MORTGAGE AMORTIZATION SCHEDULELoan amount: $480000.00
Loan rate: 7.000%
Loan term: 30 years
Monthly payment: $3193.45
Total paid: $1149642.00
Cost of credit: $669642.00
      /-------   PAYMENT   --------\  /---------   TOTAL   ---------\
month  payment  interest principal  interest   principal     paid   balance
   12  3193.45   2774.00     419.45  33288.05    5033.35  38321.40 475124.14
   24  3193.45   2743.68     449.77  65848.38   10794.42  76642.80 469895.80
   36  3193.45   2711.17     482.28  97602.07   17362.13 114964.20 464289.50
   48  3193.45   2676.30     517.15 128462.62   24822.98 153285.60 458277.93
   60  3193.45   2638.92     554.53 158335.21   33271.79 191607.00 451831.77
   72  3193.45   2598.83     594.62 187115.98   42812.42 229928.40 444919.63
   84  3193.45   2555.85     637.60 214691.25   53558.55 268249.80 437507.80
   96  3193.45   2509.76     683.69 240936.57   65634.63 306571.20 429560.17
  108  3193.45   2460.33     733.12 265715.81   79176.79 344892.60 421038.01
  120  3193.45   2407.33     786.12 288880.13   94333.87 383214.00 411899.78
  132  3193.45   2350.51     842.94 310266.80  111268.60 421535.40 402100.95
  144  3193.45   2289.57     903.88 329698.02  130158.78 459856.80 391593.76
  156  3193.45   2224.23     969.22 346979.56  151198.64 498178.20 380327.00
  168  3193.45   2154.16    1039.29 361899.36  174600.24 536499.60 368245.77
  180  3193.45   2079.03    1114.42 374225.88  200595.12 574821.00 355291.18
  192  3193.45   1998.47    1194.98 383706.50  229435.90 613142.40 341400.11
  204  3193.45   1912.09    1281.36 390065.60  261398.20 651463.80 326504.85
  216  3193.45   1819.46    1373.99 393002.58  296782.62 689785.20 310532.81
  228  3193.45   1720.13    1473.32 392189.70  335916.90 728106.60 293406.15
  240  3193.45   1613.62    1579.83 387269.72  379158.28 766428.00 275041.41
  252  3193.45   1499.42    1694.03 377853.36  426896.04 804749.40 255349.07
  264  3193.45   1376.96    1816.49 363516.49  479554.31 843070.80 234233.17
  276  3193.45   1245.64    1947.81 343797.17  537595.03 881392.20 211590.81
  288  3193.45   1104.83    2088.62 318192.40  601521.20 919713.60 187311.62
  300  3193.45    953.85    2239.60 286154.56  671880.44 958035.00 161277.29
  312  3193.45    791.95    2401.50 247087.64  749268.76 996356.40 133360.94
  324  3193.45    618.34    2575.11 200343.06  834334.74 1034677.80 103426.51
  336  3193.45    432.19    2761.26 145215.19  927784.01 1072999.20  71328.12
  348  3193.45    232.58    2960.87  80936.52 1030384.08 1111320.60  36909.33
  360  3193.45     18.53    3174.92   6672.39 1142969.61 1149642.00      2.41
