MORTGAGE AMORTIZATION SCHEDULELoan amount: $388000.00
Loan rate: 2.500%
Loan term: 30 years
Monthly payment: $1533.07
Total paid: $551905.20
Cost of credit: $163905.20
      /-------   PAYMENT   --------\  /---------   TOTAL   ---------\
month  payment  interest principal  interest   principal     paid   balance
   12  1533.07    791.55     741.52   9498.61    8898.23  18396.84 379202.81
   24  1533.07    772.80     760.27  18547.17   18246.51  36793.68 370183.16
   36  1533.07    753.57     779.50  27128.62   28061.90  55190.52 360935.41
   48  1533.07    733.86     799.21  35225.30   38362.06  73587.36 351453.80
   60  1533.07    713.65     819.42  42818.98   49165.22  91984.20 341732.42
   72  1533.07    692.93     840.14  49890.80   60490.24 110381.04 331765.20
   84  1533.07    671.68     861.39  56421.28   72356.60 128777.88 321545.92
   96  1533.07    649.90     883.17  62390.28   84784.44 147174.72 311068.21
  108  1533.07    627.56     905.51  67776.99   97794.57 165571.56 300325.54
  120  1533.07    604.67     928.40  72559.90  111408.50 183968.40 289311.20
  132  1533.07    581.19     951.88  76716.81  125648.43 202365.24 278018.33
  144  1533.07    557.12     975.95  80224.75  140537.33 220762.08 266439.87
  156  1533.07    532.44    1000.63  83060.01  156098.91 239158.92 254568.62
  168  1533.07    507.13    1025.94  85198.08  172357.68 257555.76 242397.16
  180  1533.07    481.19    1051.88  86613.67  189338.93 275952.60 229917.90
  192  1533.07    454.59    1078.48  87280.62  207068.82 294349.44 217123.06
  204  1533.07    427.31    1105.76  87171.93  225574.35 312746.28 204004.66
  216  1533.07    399.35    1133.72  86259.71  244883.41 331143.12 190554.52
  228  1533.07    370.68    1162.39  84515.15  265024.81 349539.96 176764.24
  240  1533.07    341.29    1191.78  81908.51  286028.29 367936.80 162625.23
  252  1533.07    311.15    1221.92  78409.06  307924.58 386333.64 148128.66
  264  1533.07    280.25    1252.82  73985.08  330745.40 404730.48 133265.50
  276  1533.07    248.56    1284.51  68603.81  354523.51 423127.32 118026.47
  288  1533.07    216.08    1316.99  62231.43  379292.73 441524.16 102402.07
  300  1533.07    182.78    1350.29  54833.03  405087.97 459921.00  86382.55
  312  1533.07    148.63    1384.44  46372.54  431945.30 478317.84  69957.92
  324  1533.07    113.62    1419.45  36812.74  459901.94 496714.68  53117.94
  336  1533.07     77.72    1455.35  26115.22  488996.30 515111.52  35852.11
  348  1533.07     40.92    1492.15  14240.30  519268.06 533508.36  18149.64
  360  1533.07      3.19    1529.88   1147.05  550758.15 551905.20     -0.49
